gr_year,squirrel_id,N
KL_2005,6313,36
KL_2005,6507,55
KL_2005,6509,57
KL_2005,7830,57
KL_2005,6631,25
KL_2005,7833,68
KL_2005,8729,32
KL_2005,6424,26
KL_2005,7149,26
KL_2005,8576,43
KL_2005,6617,71
KL_2005,6935,57
KL_2005,7451,61
KL_2005,8727,38
KL_2005,7609,59
KL_2005,6400,33
KL_2005,6956,44
KL_2005,6236,57
KL_2005,6392,33
KL_2005,7091,29
KL_2005,7148,40
KL_2005,7842,71
KL_2005,6527,25
KL_2005,6434,37
KL_2005,6523,27
KL_2005,7115,23
KL_2005,7935,25
KL_2005,6553,33
KL_2005,7092,35
KL_2005,6511,69
KL_2005,7828,172
KL_2005,8277,41
KL_2005,7124,117
KL_2005,6353,26
KL_2005,6889,35
KL_2005,8730,38
KL_2005,6423,45
KL_2005,6374,25
KL_2005,10192,25
KL_2005,6487,77
KL_2005,7136,77
KL_2005,7392,114
KL_2005,7106,55
KL_2005,8592,88
KL_2005,7118,88
KL_2005,10138,82
KL_2005,6882,86
KL_2005,6522,88
KL_2005,7201,82
KL_2005,7390,82
KL_2005,7291,95
KL_2005,10137,84
SU_2005,6760,162
SU_2005,7884,120
SU_2005,7926,116
SU_2005,6338,139
SU_2005,6348,117
SU_2005,6953,112
SU_2005,7247,55
SU_2005,7312,67
SU_2005,7387,121
SU_2005,6346,145
SU_2005,6398,152
SU_2005,7553,86
SU_2005,8398,49
SU_2005,6517,38
SU_2005,6569,83
SU_2005,7068,35
SU_2005,7135,41
SU_2005,6342,56
SU_2005,6502,28
SU_2005,7022,44
SU_2005,7172,103
SU_2005,8443,61
SU_2005,6510,73
SU_2005,7575,24
SU_2005,10296,45
SU_2005,6458,48
SU_2005,6232,39
SU_2005,7643,87
SU_2005,6508,99
SU_2005,7025,34
SU_2005,7249,33
SU_2005,7307,67
SU_2005,7423,56
SU_2005,6347,69
SU_2005,7385,40
SU_2005,8580,38
SU_2005,6495,50
SU_2005,10786,53
SU_2005,6841,125
SU_2005,7278,117
SU_2005,7874,40
SU_2005,7636,70
SU_2005,6954,70
SU_2005,6401,67
